text,label
im grabbing a minute to post i feel greedy wrong,3
i am feeling grouchy,3
i think it s the easiest time of year to feel dissatisfied,3
i feel irritated and rejected without anyone doing anything or saying anything,3
i already feel like i fucked up though because i dont usually eat at all in the morning,3
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3
i stopped feeling cold and began feeling hot,3
i feel selfish and spoiled,3
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3
i know the pain parents feel when an enraged child becomes violent,3
i feel angered and firey,3
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3
i remember feeling so hellip furious with the shooter,3
im feeling bitter today my mood has been strange the entire day so i guess its that,3
i am letting go of the animosity that is towards anyone that i feel has wronged me,3
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,3
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,3
i just feel really violent right now,3
i feel disgusted to even be associated with this woman by my race and nationality,3
i laughed then bitterly again but i wasnt feeling bitter,3
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,3
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,3
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,3
i know there are days in which you feel distracted,3
im feeling distracted i tend to practice with my eyes shut as much as possible,3
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,3
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,3
id kick myself into gear but i just feel irritable with no motivation what so ever,3
i will start to feel resentful,3
i feel so fucked like everyday of my life,3
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,3
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,3
im feeling cranky,3
i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,3
im still paying attention but i feel distracted,3
i have my own mind and i feel like my mind is dangerous to my life,3
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,3
i always spend more money there than i mean to and feel dissatisfied when i exit the store,3
im feeling really quite angry,3
i is starting to feel a bit insulted by this stranger,3
i see women wearing boots i feel envious that i want to curse them,3
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,3
i started feeling hostile and i am checking my hemorrhoids,3
i feel like i m on the receiving end of a violent attack,3
i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,3
i feel envious and embarrassed,3
i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,3
i should feel complimented or insulted,3
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,3
i feel bitter and just honkerblonked off in general,3
im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage,3
i do feel envious of those with kids at certain moments,3
im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week,3
i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size,3
i feel like im more hated than celebrated and i cant wait till the day i can say i made it,3
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,3
i feel like i should care that im a bit heartless not to,3
i feel bitchy because i am hurting too,3
i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible,3
i am going to clean the slate by unilaterally forgiving those i feel have wronged me or someone i love intentionally or through carelessness so that i thereby in time can forget the perceived insults and abuses,3
i feel like you feel this is a mistake but time is fucked up sleep won t take,3
i feel there are dangerous games or activities,3
i do feel that they are greedy and money hungry absolutely,3
i feel so fucked up now i want to shut myself up,3
i must find a way to accept these limitations until they are older without feeling held back or resentful,3
i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us,3
im currently feeling way fucked up with the mother tongue paper,3
i feel tortured and tragic enough as it is without having any importance or sparkle,3
i feel selfish thinking this way but i feel so lonely at times,3
i feel like i have been rather unkind to it,3
i do feel a bit obnoxious it is definately the weather,3
i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath,3
i feel a little frustrated an ache of longing has settled into my heart the weariness of life his slipped around my shoulders like an unwelcome friend,3
i was feeling impatient and took pills,3
i feel like my go to emotion is angry,3
i is feeling insulted because everyone is comparing sneha with her,3
im feeling every bit the spiteful vindictive bitch i can be at times,3
i didn t think that it would come that fast or would come at all but i suppose it is because i feel cranky today,3
i have the feeling that im going to be stubborn about it,3
i start to feel agitated lacking in patience and just down right cranky,3
i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad,3
i would hate to be bit imagine if the secretary is feeling irritable that day eh,3
i feel agitated and the result is not pleasant the opposite of calm and peaceful,3
i truly feel but its somehow not enough for me to hate him or to get mad,3
i want to enter in defiance but coming from a different culture i feel offended that i am not allowed,3
i was feeling rebellious so i ate it,3
i do feel agitated restless or on edge quite often,3
i feel like i should have actively hated every single second rather than just borne it all,3
i feel a violent tug at my eye socket,3
i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run,3
i was tempted to feel a little bitter but then i saw this,3
i really am feeling horribly irritable and a little bit depressed,3
im feeling rushed and like i should have planned certain things this summer that i can no longer do,3
i feel that cold breeze,3
i try to breathe in when i feel frustrated and breathe out the calm that i desire,3
i feel heartless now feeling bored and not believe in love anymore,3
i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business,3
i feel really angry sometimes because for the love of god havent we been through enough,3
im feeling cranky and horrible,3
i really feel i was wronged as a patient,3
i feel like a greedy little traitor i m looking looking among these covers hey little snotface take me,3
i feel like i was a rude ass hole at hookah,3
i was made to feel like it was my fault that i couldn t control my husband and his violent behavior if they even believed it existed,3
i feel disgusted when need to act cute like the actions of gwiyomi,3
im starting to not buy the whole everything happens for a reason bit or god has a plan b c i feel that god is love and theres no way that he would torture me and other women like weve been tortured dealing w fertility issues,3
i feel truly impatient that this is taking so long,3
i want to say how i want to feel just come out so bitter and angry,3
i know what it feels like to face irate customers,3
i havent worked out today but i feel like im just not going to feel it ive been so stressed at work and just in life that this week is just bad,3
i sometimes feel resentful that this has come into our lives at this time,3
i feel like i have been really cranky at school these days,3
i do not feel like i am hostile toward others just that i fail to be nice to them,3
i wake up feeling cranky and out of sorts,3
i say that i feel like im being tortured by him,3
i cant help looking back on the child i was and feeling rather jealous but i am also delighted to be living in a time when a nine year old child in some parts of the world can read a thousand books a year if she he wishes and is able to,3
im feeling a bit cranky today,3
i even dare to say that some of the biggest stiller and or vaughn haters still could get some enjoyment out of this movie and not feel annoyed by their performances and characters,3
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,3
i didnt feel the cold up there because we had a fire every night,3
im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there,3
i finish typing this post i realise i m ok no longer do i feel annoyed angry or even sad,3
i refuse to rate the book but if she and her publisher feel snobbish then take it from me when i say jeanette winterson cannot write and essentially does not do wish to do anything with the scope to explore,3
i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts,3
i remember feeling how my husband felt when i would see people being rude to my mom and mom just being her sweet self to them,3
i remember feeling a little jealous and realized that our time together wasnt solely about me but that he has a larger network of social interactions all ready in progress before i got there,3
i feel impatient yet i am not fully sure what i am searching for,3
i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought,3
i feel i am completely dissatisfied with the whole world and all human characters are inconsistent,3
i knew from high school and he s pretty fuckin chill says that the girl feels insulted and threatened by the blog that i wrote and would like me to apologize and if i offended her i m sorry,3
im feeling particularly dangerous a chocolate cookie,3
i actually thought i would feel bothered being their since ehb and the other woman ow spent quite a bit of time together there but i didnt feel much of anything,3
i feel bothered,3
i feel just insulted,3
when a very close friend with whom i have a very intimate and bodily relationship he had a girlfriend started to avoid me and didnt want to talk to me any more,3
i feel wronged by the world,3
i feel agitated and empty and missing something,3
i am feeling deeply offended big hurt feelings in fact,3
i dontknow why but i never feel this way with anyone else i really cant be without linus i love him which i never thought i could ever love anyone after went through few fucked up relationship,3
i am glad to know the reason for my recent lapse of sanity but i still feel like i want to go on a very violent rampage at the slightest inconvenience to me,3
i feel like offended with such question,3
i guess im just feeling a little rebellious,3
im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid,3
i am excited i hope they will be a it more personal with us and i wont feel like i am being rushed in and out,3
when my mother kept me in leadingstrings,3
i get home i laze around in my pajamas feeling grouchy,3
i feel everything around me is fucked everyone around me is falling to pieces,3
i feel extremely insulted,3
i cant help feeling mad at this man,3
