text,label
i feel as confused about life as a teenager or as jaded as a year old man,4
i now feel compromised and skeptical of the value of every unit of work i put in,4
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4
i remember feeling acutely distressed for a few days,4
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4
i will be able to lay on my bed in the dark and not feel terrified at least for a while,4
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4
i had stated to her the reason i feel so fearful is because i feel unsafe,4
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,4
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,4
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,4
i feel strange coming back to work after my one day holiday,4
im getting the feeling that my classes are a little intimidated by the concept of a lit,4
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,4
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,4
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,4
i feel vulnerable and alone,4
i think im just being stupid feeling nervous,4
i feel now so uncomfortable with all of them i guess is me,4
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,4
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,4
i am feeling pretty restless right now while typing this,4
i just feel terrified like im on the edge of a precipice staring ahead,4
i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,4
i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way,4
i know im feeling agitated as it is from a side effect of the too high dose,4
fear of thief,4
i always feel intimidated by other people especially when they always compare me to other people ever since i was young,4
i didnt say was that strong feelings always make me skeptical at first,4
i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up,4
i feel confused after that,4
i could feel the frantic need in him the need to make me his,4
i was a smoker for years and quit weeks ago right after i finished your book and i cant believe how free i feel i knew that i had to quit but i was terrified of my life without cigarettes,4
i am already feeling frantic,4
i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen,4
i still feel vulnerable around him,4
i feel this is doubtful,4
i feel hesitant about talking about this,4
i feel hesitant to comment because i don t want to add to a pileon but it seems clear to me that those involved haven t learned from their past experiences nor are they interested in applying that learning to future projects,4
i feel indecisive on whether or not i feel the book huckleberry finn should be censored,4
i have been feeling so overwhelmed lately,4
im contemplating and feeling skeptical,4
i love him but i feel threatened with him around a little,4
i found myself in the novel position of feeling a bit uncertain about the stock market rally,4
i am always so sensitive and my every sense feels like it is being assaulted as i drag myself away from the darkness,4
i couldnt help but feel totally distraught and utterly helpless when lorena was kidnapped and tortured almost to death by a band of enemies i was desperate for her freedom,4
i just woke up from my nap and i feel extremely agitated and grumpy,4
i feel intimidated by the great women in my family tree,4
i will say that a little piece of me feels agitated when i watch discussions on race and there will i style color font family georgia serif font size px line height,4
i broke my uncles radio player accidentally and so i feared that he was going to cut me off from going to his house as well as playing it again,4
i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation,4
i giggle nervously when i feel threatened,4
i picked up feeling a little apprehensive,4
i can t believe it i feel so nervous but my father reassures me that there is nothing to be nervous about which only makes me more nervous,4
i feel uptight my day is complete when hes around i feel so right a little nervs i dream about what we can do date and all the things we can pursue wedding i always dream that your mine very day min,4
i didnt tell you because i didnt want you to feel afraid,4
i sort of hate glasses because they make my eyes look small and since huge eyes is all i have going for me it was quite an upset but im hoping these bigger frames will make me feel less paranoid,4
i feel distressed music on my mind rewrite fma op,4
i would want to welcome into my home if i end up feeling my mommyhood threatened by my inability to breastfeed my baby,4
i had horrible anxiety dreams every night last week and it made me feel really paranoid and of course all of that reading about conspiracy theories and unsolved crimes online didnt hugely help matters,4
i remember feeling uncertain about myself when i was young and especially when i became a teenager,4
i feel uncomfortable using the word awesome but this idea actually is,4
im feeling indecisive and it scares me,4
i believe that what was displayed is a deep emotional yearning for semblance of normality peace since it appears the dancing arabs did not feel threatened by a fully armed soldier,4
i feel kind of insecure here anyways back to doha,4
i am grateful that i no longer feel a frantic urge to fix the emotional upsets of those around me,4
i simply said how sorry i am and just got out from her car and got into my house feeling restless,4
ive been feeling a bit paranoid like its really noticable that im off and that everyone can see that,4
i am at the bus stop and i hear the squeak of a baachan trolley i feel a little paranoid,4
i ended up shoeless making me feel even more vulnerable and slowing me down further,4
i had envisioned and intended im just feeling unsure whether i got that vision and intention right,4
im feeling a combination of terrified and relieved,4
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,4
i feel so shaken and guilty for not being a better mother and shielding my offspring from this health problem,4
i was feeling nervous sure just like anyone else would be in my position,4
i was older i might not feel as frightened about spending the time i have left alone,4
i still feel shaky is because in the worst hit areas the damage and destruction is so complete,4
i feel uncertain and uneasy,4
i feel nervous about going back to america not knowing what to expect the transition to be like,4
i started to feel kind of skeptical about this myself,4
im feeling agitated and pour more brandy on my coffee,4
i sense this is wat has let you feeling unsure,4
i am feeling very apprehensive about the future at the moment,4
i am not a very extremely good friend of someone of course i feel reluctant to some extent if i have to do favours for that someone,4
i was sleeping in my room but woke in the middle of the night to think i could hear noises and see shadows moving i felt that someone was in the house,4
i begin to have these doubts my stomach clenches my heart races and i feel fearful,4
i walia feels suspicious about tarun and bani,4
i had then these were truly terrifying and still feel shaken and uneasy because of them,4
i sit here tonight i m pensive tense and feeling a little fearful,4
i felt sad and apprehensive and angry that i d had vertigo and that it had left me feeling uncertain,4
i have admitted defeat and asked the other half to come back from the lake coz i just feel so uptight already,4
i have to admit i am feeling a bit intimidated by the challenge of,4
i think i was feeling vulnerable due to the stress of having to buy a new sewing machine and printer,4
i woke up on a beautiful sunday morning feeling restless and miserable,4
i couldn t turn my head away even when i feel frightened,4
i feel the most uncertain about the project,4
i feel apprehensive about the ride ahead,4
i do not feel insecure or unsafe,4
i think that our favorite activities as a child are often very telling and if someone is feeling a little unsure about their life s direction going back to those childhood favorite past times holds many rich clues,4
i feel fearful of being near them,4
i do not feel overwhelmed nor rushed,4
i feel a bit reluctant to turn to other people,4
i probably love a handful of friends too but i always feel a bit strange when describing this as love,4
i am feeling a bit strange never felt that ever but should i really stop writing blogs now,4
i don t know why it is that i feel awkwardly hesitant to return to melbourne,4
i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,4
i told im i didnt want him to feel uncomfortable,4
