text,label
i didnt feel humiliated,0
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0
ive been feeling a little burdened lately wasnt sure why that was,0
i feel like i have to make the suffering i m seeing mean something,0
i feel low energy i m just thirsty,0
i didnt really feel that embarrassed,0
i feel pretty pathetic most of the time,0
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0
i become overwhelmed and feel defeated,0
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0
i was feeling listless from the need of new things something different,0
i found myself feeling a little discouraged that morning,0
i feel you know basically like a fake in the realm of science fiction,0
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0
i am feeling miserable but c i am also the proudest mum on earth,0
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0
i can feel my ovaries aching talking to me as i like to put it,0
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0
i feel like a miserable piece of garbage,0
i feel so worthless during those times i was struggling finding work,0
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0
i feel like throwing away the shitty piece of shit paper,0
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0
im not feeling homesick yet so im feeling alright about this,0
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0
i do not feel miserable at all because my family is not the type that celebrates eid,0
i still feel sleep deprived she is almost sleeping through the night giving us,0
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,0
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,0
i could feel her whimper to the thought of being unloved and uncared for,0
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,0
i feel so sad and hopeless,0
i still feel groggy but i have to get up to do the routine for my son,0
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,0
i am no fan of the current president i am a conservative and it made me feel unwelcome,0
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,0
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,0
i died would alex and matt feel regretful for not coming to visit,0
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,0
i legs would feel shitty for a few miles but would come around like they always do,0
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,0
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,0
i wrote last year when i was feeling more dull and inarticulate than normal,0
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,0
i am feeling disheartened with my words as of late,0
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,0
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,0
i feel stressed always,0
i remember feeling another cramp but i also ignored it,0
i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,0
im feeling awful because we hung out with my friend and her new baby the day before,0
i feel the suffering and i really feel the pain,0
i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,0
i feel as if i was abused in some way,0
i can feel myself gaining control over the damaged goods aspects of my personal security,0
i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax,0
i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets,0
i feel as if i should be punished for neglecting you,0
i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,0
i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions,0
